Date(UTC),Pair,Side,Price,Executed,Amount,Fee
24/11/2020 13:21,BTCEUR,BUY,"16,284.10",0.0061400000BTC,99.98437400EUR,0.0000000000BTC
24/11/2020 13:31,BTCUSDT,SELL,"19,290.67",0.0000170000BTC,0.32794139USDT,0.0003279400USDT
24/11/2020 13:31,BTCUSDT,SELL,"19,290.00",0.0003230000BTC,6.23067000USDT,0.0062306700USDT
24/11/2020 13:31,BTCUSDT,SELL,"19,290.66",0.0058000000BTC,111.88582800USDT,0.1118858300USDT
24/11/2020 13:34,BTCUSDT,BUY,"19,246.76",0.0054050000BTC,104.02873780USDT,0.0000054100BTC
24/11/2020 13:35,BTCUSDT,BUY,"19,236.01",0.0006530000BTC,12.56111453USDT,0.0000006500BTC
24/11/2020 13:39,BTCUSDT,SELL,"19,250.13",0.0060510000BTC,116.48253663USDT,0.1164825400USDT
24/11/2020 13:39,BTCUSDT,BUY,"19,224.78",0.0058860000BTC,113.15705508USDT,0.0000058900BTC
24/11/2020 15:02,BTCUSDT,SELL,"19,392.99",0.0058810000BTC,114.05017419USDT,0.1140501700USDT
24/11/2020 15:06,BTCUSDT,BUY,"19,375.07",0.0059860000BTC,115.97916902USDT,0.0000059900BTC
24/11/2020 16:03,BTCUSDT,SELL,"19,408.65",0.0059800000BTC,116.06372700USDT,0.1160637300USDT
24/11/2020 16:05,BTCUSDT,BUY,"19,397.45",0.0058210000BTC,112.91255645USDT,0.0000058200BTC
25/11/2020 13:50,BTCUSDT,SELL,"19,468.29",0.0058150000BTC,113.20810635USDT,0.1132081100USDT
25/11/2020 13:52,BTCUSDT,BUY,"19,240.11",0.0059480000BTC,114.44017428USDT,0.0000059500BTC
25/11/2020 15:50,THETABTC,BUY,0.00003832,63.0000000000THETA,0.00241416BTC,0.0630000000THETA
25/11/2020 15:50,THETABTC,BUY,0.00003833,14.0000000000THETA,0.00053662BTC,0.0140000000THETA
25/11/2020 15:50,THETABTC,BUY,0.00003833,27.0000000000THETA,0.00103491BTC,0.0270000000THETA
25/11/2020 15:50,THETABTC,BUY,0.00003832,5.0000000000THETA,0.00019160BTC,0.0050000000THETA
25/11/2020 15:50,THETABTC,BUY,0.00003833,29.0000000000THETA,0.00111157BTC,0.0290000000THETA
26/11/2020 10:05,THETABTC,BUY,0.00003584,17.0000000000THETA,0.00060928BTC,0.0170000000THETA
27/11/2020 01:08,BTCEUR,BUY,"14,628.54",0.0042310000BTC,61.89335274EUR,0.0000042300BTC
27/11/2020 01:08,BTCEUR,BUY,"14,629.38",0.0091630000BTC,134.04900894EUR,0.0000091600BTC
27/11/2020 01:10,CRVBTC,BUY,0.0000355,4.5400000000CRV,0.00016117BTC,0.0045400000CRV
27/11/2020 01:10,CRVBTC,BUY,0.0000355,48.5800000000CRV,0.00172459BTC,0.0485800000CRV
27/11/2020 01:10,CRVBTC,BUY,0.0000355,26.0000000000CRV,0.00092300BTC,0.0260000000CRV
27/11/2020 01:10,CRVBTC,BUY,0.0000355,3.3900000000CRV,0.00012034BTC,0.0033900000CRV
27/11/2020 01:10,CRVBTC,BUY,0.0000355,9.8400000000CRV,0.00034932BTC,0.0098400000CRV
27/11/2020 01:10,CRVBTC,BUY,0.0000355,38.5000000000CRV,0.00136675BTC,0.0385000000CRV
27/11/2020 01:10,CRVBTC,BUY,0.0000355,8.0000000000CRV,0.00028400BTC,0.0080000000CRV
27/11/2020 01:10,CRVBTC,BUY,0.0000355,164.0600000000CRV,0.00582413BTC,0.1640600000CRV
27/11/2020 01:10,CRVBTC,BUY,0.0000355,15.7800000000CRV,0.00056019BTC,0.0157800000CRV
27/11/2020 01:10,CRVBTC,BUY,0.0000355,26.6200000000CRV,0.00094501BTC,0.0266200000CRV
27/11/2020 01:39,CRVBTC,SELL,0.0000346,344.9600000000CRV,0.01193562BTC,0.0000119400BTC
27/11/2020 01:40,THETABTC,SELL,0.00003601,3.0000000000THETA,0.00010803BTC,0.0000001100BTC
27/11/2020 01:40,THETABTC,SELL,0.00003598,82.0000000000THETA,0.00295036BTC,0.0000029500BTC
27/11/2020 01:40,THETABTC,SELL,0.00003599,69.0000000000THETA,0.00248331BTC,0.0000024800BTC
28/11/2020 00:14,XLMBTC,BUY,0.00001185,666.0000000000XLM,0.00789210BTC,0.6660000000XLM
28/11/2020 00:39,XLMUSDT,SELL,0.21264,665.3000000000XLM,141.46939200USDT,0.1414693900USDT
28/11/2020 00:40,XLMUSDT,BUY,0.21695,577.0000000000XLM,125.18015000USDT,0.5770000000XLM
